DateKey,CalendarYear,CalendarHalfYearLabel,CalendarQuarterLabel,CalendarMonth,CalendarMonthLabel,CalendarWeekLabel,CalendarDayOfWeekLabel,IsWorkDay,Año,Trimestre,Mes,Día,SemanaAño,Dia Semana,Fin Semana,Mes Corto,Mes Txt,Dia Txt,Start of Week,End of Week,Mala Suerte
"2008-02-11 00:00:00,000",2008,"H1","Q1",200802,"February","Week 7","Monday","WorkDay",2008,"Trimestre 1",2,11,7,1,"Día Laboral","F","February","Monday","2008-02-10 00:00:00,000","2008-02-17 00:00:00,000","Día Normal"
"2008-02-12 00:00:00,000",2008,"H1","Q1",200802,"February","Week 7","Tuesday","WorkDay",2008,"Trimestre 1",2,12,7,2,"Día Laboral","F","February","Tuesday","2008-02-10 00:00:00,000","2008-02-17 00:00:00,000","Día Normal"
"2008-02-13 00:00:00,000",2008,"H1","Q1",200802,"February","Week 7","Wednesday","WorkDay",2008,"Trimestre 1",2,13,7,3,"Día Laboral","F","February","Wednesday","2008-02-10 00:00:00,000","2008-02-17 00:00:00,000","Día Normal"
"2008-02-14 00:00:00,000",2008,"H1","Q1",200802,"February","Week 7","Thursday","WorkDay",2008,"Trimestre 1",2,14,7,4,"Día Laboral","F","February","Thursday","2008-02-10 00:00:00,000","2008-02-17 00:00:00,000","Día Normal"
"2008-02-15 00:00:00,000",2008,"H1","Q1",200802,"February","Week 7","Friday","WorkDay",2008,"Trimestre 1",2,15,7,5,"Día Laboral","F","February","Friday","2008-02-10 00:00:00,000","2008-02-17 00:00:00,000","Día Normal"
"2008-02-18 00:00:00,000",2008,"H1","Q1",200802,"February","Week 8","Monday","WorkDay",2008,"Trimestre 1",2,18,8,1,"Día Laboral","F","February","Monday","2008-02-17 00:00:00,000","2008-02-24 00:00:00,000","Día Normal"
"2008-02-19 00:00:00,000",2008,"H1","Q1",200802,"February","Week 8","Tuesday","WorkDay",2008,"Trimestre 1",2,19,8,2,"Día Laboral","F","February","Tuesday","2008-02-17 00:00:00,000","2008-02-24 00:00:00,000","Día Normal"
"2008-02-20 00:00:00,000",2008,"H1","Q1",200802,"February","Week 8","Wednesday","WorkDay",2008,"Trimestre 1",2,20,8,3,"Día Laboral","F","February","Wednesday","2008-02-17 00:00:00,000","2008-02-24 00:00:00,000","Día Normal"
"2008-02-21 00:00:00,000",2008,"H1","Q1",200802,"February","Week 8","Thursday","WorkDay",2008,"Trimestre 1",2,21,8,4,"Día Laboral","F","February","Thursday","2008-02-17 00:00:00,000","2008-02-24 00:00:00,000","Día Normal"
"2008-02-22 00:00:00,000",2008,"H1","Q1",200802,"February","Week 8","Friday","WorkDay",2008,"Trimestre 1",2,22,8,5,"Día Laboral","F","February","Friday","2008-02-17 00:00:00,000","2008-02-24 00:00:00,000","Día Normal"
"2008-02-25 00:00:00,000",2008,"H1","Q1",200802,"February","Week 9","Monday","WorkDay",2008,"Trimestre 1",2,25,9,1,"Día Laboral","F","February","Monday","2008-02-24 00:00:00,000","2008-03-02 00:00:00,000","Día Normal"
"2008-02-26 00:00:00,000",2008,"H1","Q1",200802,"February","Week 9","Tuesday","WorkDay",2008,"Trimestre 1",2,26,9,2,"Día Laboral","F","February","Tuesday","2008-02-24 00:00:00,000","2008-03-02 00:00:00,000","Día Normal"
"2008-02-27 00:00:00,000",2008,"H1","Q1",200802,"February","Week 9","Wednesday","WorkDay",2008,"Trimestre 1",2,27,9,3,"Día Laboral","F","February","Wednesday","2008-02-24 00:00:00,000","2008-03-02 00:00:00,000","Día Normal"
"2008-02-28 00:00:00,000",2008,"H1","Q1",200802,"February","Week 9","Thursday","WorkDay",2008,"Trimestre 1",2,28,9,4,"Día Laboral","F","February","Thursday","2008-02-24 00:00:00,000","2008-03-02 00:00:00,000","Día Normal"
"2008-02-29 00:00:00,000",2008,"H1","Q1",200802,"February","Week 9","Friday","WorkDay",2008,"Trimestre 1",2,29,9,5,"Día Laboral","F","February","Friday","2008-02-24 00:00:00,000","2008-03-02 00:00:00,000","Día Normal"
"2008-03-03 00:00:00,000",2008,"H1","Q1",200803,"March","Week 10","Monday","WorkDay",2008,"Trimestre 1",3,3,10,1,"Día Laboral","M","March","Monday","2008-03-02 00:00:00,000","2008-03-09 00:00:00,000","Día Normal"
"2008-03-04 00:00:00,000",2008,"H1","Q1",200803,"March","Week 10","Tuesday","WorkDay",2008,"Trimestre 1",3,4,10,2,"Día Laboral","M","March","Tuesday","2008-03-02 00:00:00,000","2008-03-09 00:00:00,000","Día Normal"
"2008-03-05 00:00:00,000",2008,"H1","Q1",200803,"March","Week 10","Wednesday","WorkDay",2008,"Trimestre 1",3,5,10,3,"Día Laboral","M","March","Wednesday","2008-03-02 00:00:00,000","2008-03-09 00:00:00,000","Día Normal"
"2008-03-06 00:00:00,000",2008,"H1","Q1",200803,"March","Week 10","Thursday","WorkDay",2008,"Trimestre 1",3,6,10,4,"Día Laboral","M","March","Thursday","2008-03-02 00:00:00,000","2008-03-09 00:00:00,000","Día Normal"
"2008-03-07 00:00:00,000",2008,"H1","Q1",200803,"March","Week 10","Friday","WorkDay",2008,"Trimestre 1",3,7,10,5,"Día Laboral","M","March","Friday","2008-03-02 00:00:00,000","2008-03-09 00:00:00,000","Día Normal"
"2008-03-10 00:00:00,000",2008,"H1","Q1",200803,"March","Week 11","Monday","WorkDay",2008,"Trimestre 1",3,10,11,1,"Día Laboral","M","March","Monday","2008-03-09 00:00:00,000","2008-03-16 00:00:00,000","Día Normal"
"2008-03-11 00:00:00,000",2008,"H1","Q1",200803,"March","Week 11","Tuesday","WorkDay",2008,"Trimestre 1",3,11,11,2,"Día Laboral","M","March","Tuesday","2008-03-09 00:00:00,000","2008-03-16 00:00:00,000","Día Normal"
"2008-03-12 00:00:00,000",2008,"H1","Q1",200803,"March","Week 11","Wednesday","WorkDay",2008,"Trimestre 1",3,12,11,3,"Día Laboral","M","March","Wednesday","2008-03-09 00:00:00,000","2008-03-16 00:00:00,000","Día Normal"
"2008-03-13 00:00:00,000",2008,"H1","Q1",200803,"March","Week 11","Thursday","WorkDay",2008,"Trimestre 1",3,13,11,4,"Día Laboral","M","March","Thursday","2008-03-09 00:00:00,000","2008-03-16 00:00:00,000","Día Normal"
"2008-03-14 00:00:00,000",2008,"H1","Q1",200803,"March","Week 11","Friday","WorkDay",2008,"Trimestre 1",3,14,11,5,"Día Laboral","M","March","Friday","2008-03-09 00:00:00,000","2008-03-16 00:00:00,000","Día Normal"
"2008-03-17 00:00:00,000",2008,"H1","Q1",200803,"March","Week 12","Monday","WorkDay",2008,"Trimestre 1",3,17,12,1,"Día Laboral","M","March","Monday","2008-03-16 00:00:00,000","2008-03-23 00:00:00,000","Día Normal"
"2008-03-18 00:00:00,000",2008,"H1","Q1",200803,"March","Week 12","Tuesday","WorkDay",2008,"Trimestre 1",3,18,12,2,"Día Laboral","M","March","Tuesday","2008-03-16 00:00:00,000","2008-03-23 00:00:00,000","Día Normal"
"2008-03-19 00:00:00,000",2008,"H1","Q1",200803,"March","Week 12","Wednesday","WorkDay",2008,"Trimestre 1",3,19,12,3,"Día Laboral","M","March","Wednesday","2008-03-16 00:00:00,000","2008-03-23 00:00:00,000","Día Normal"
"2008-03-20 00:00:00,000",2008,"H1","Q1",200803,"March","Week 12","Thursday","WorkDay",2008,"Trimestre 1",3,20,12,4,"Día Laboral","M","March","Thursday","2008-03-16 00:00:00,000","2008-03-23 00:00:00,000","Día Normal"
"2008-03-21 00:00:00,000",2008,"H1","Q1",200803,"March","Week 12","Friday","WorkDay",2008,"Trimestre 1",3,21,12,5,"Día Laboral","M","March","Friday","2008-03-16 00:00:00,000","2008-03-23 00:00:00,000","Día Normal"
"2008-03-24 00:00:00,000",2008,"H1","Q1",200803,"March","Week 13","Monday","WorkDay",2008,"Trimestre 1",3,24,13,1,"Día Laboral","M","March","Monday","2008-03-23 00:00:00,000","2008-03-30 00:00:00,000","Día Normal"
"2008-03-25 00:00:00,000",2008,"H1","Q1",200803,"March","Week 13","Tuesday","WorkDay",2008,"Trimestre 1",3,25,13,2,"Día Laboral","M","March","Tuesday","2008-03-23 00:00:00,000","2008-03-30 00:00:00,000","Día Normal"
"2008-03-26 00:00:00,000",2008,"H1","Q1",200803,"March","Week 13","Wednesday","WorkDay",2008,"Trimestre 1",3,26,13,3,"Día Laboral","M","March","Wednesday","2008-03-23 00:00:00,000","2008-03-30 00:00:00,000","Día Normal"
"2008-03-27 00:00:00,000",2008,"H1","Q1",200803,"March","Week 13","Thursday","WorkDay",2008,"Trimestre 1",3,27,13,4,"Día Laboral","M","March","Thursday","2008-03-23 00:00:00,000","2008-03-30 00:00:00,000","Día Normal"
"2008-03-28 00:00:00,000",2008,"H1","Q1",200803,"March","Week 13","Friday","WorkDay",2008,"Trimestre 1",3,28,13,5,"Día Laboral","M","March","Friday","2008-03-23 00:00:00,000","2008-03-30 00:00:00,000","Día Normal"
"2008-03-31 00:00:00,000",2008,"H1","Q1",200803,"March","Week 14","Monday","WorkDay",2008,"Trimestre 1",3,31,14,1,"Día Laboral","M","March","Monday","2008-03-30 00:00:00,000","2008-04-06 00:00:00,000","Día Normal"
"2008-04-01 00:00:00,000",2008,"H1","Q2",200804,"April","Week 14","Tuesday","WorkDay",2008,"Trimestre 2",4,1,14,2,"Día Laboral","A","April","Tuesday","2008-03-30 00:00:00,000","2008-04-06 00:00:00,000","Día Normal"
"2008-04-02 00:00:00,000",2008,"H1","Q2",200804,"April","Week 14","Wednesday","WorkDay",2008,"Trimestre 2",4,2,14,3,"Día Laboral","A","April","Wednesday","2008-03-30 00:00:00,000","2008-04-06 00:00:00,000","Día Normal"
"2008-04-03 00:00:00,000",2008,"H1","Q2",200804,"April","Week 14","Thursday","WorkDay",2008,"Trimestre 2",4,3,14,4,"Día Laboral","A","April","Thursday","2008-03-30 00:00:00,000","2008-04-06 00:00:00,000","Día Normal"
"2008-04-04 00:00:00,000",2008,"H1","Q2",200804,"April","Week 14","Friday","WorkDay",2008,"Trimestre 2",4,4,14,5,"Día Laboral","A","April","Friday","2008-03-30 00:00:00,000","2008-04-06 00:00:00,000","Día Normal"
"2008-04-07 00:00:00,000",2008,"H1","Q2",200804,"April","Week 15","Monday","WorkDay",2008,"Trimestre 2",4,7,15,1,"Día Laboral","A","April","Monday","2008-04-06 00:00:00,000","2008-04-13 00:00:00,000","Día Normal"
"2008-04-08 00:00:00,000",2008,"H1","Q2",200804,"April","Week 15","Tuesday","WorkDay",2008,"Trimestre 2",4,8,15,2,"Día Laboral","A","April","Tuesday","2008-04-06 00:00:00,000","2008-04-13 00:00:00,000","Día Normal"
"2008-04-09 00:00:00,000",2008,"H1","Q2",200804,"April","Week 15","Wednesday","WorkDay",2008,"Trimestre 2",4,9,15,3,"Día Laboral","A","April","Wednesday","2008-04-06 00:00:00,000","2008-04-13 00:00:00,000","Día Normal"
"2008-04-10 00:00:00,000",2008,"H1","Q2",200804,"April","Week 15","Thursday","WorkDay",2008,"Trimestre 2",4,10,15,4,"Día Laboral","A","April","Thursday","2008-04-06 00:00:00,000","2008-04-13 00:00:00,000","Día Normal"
"2008-04-11 00:00:00,000",2008,"H1","Q2",200804,"April","Week 15","Friday","WorkDay",2008,"Trimestre 2",4,11,15,5,"Día Laboral","A","April","Friday","2008-04-06 00:00:00,000","2008-04-13 00:00:00,000","Día Normal"
"2008-04-14 00:00:00,000",2008,"H1","Q2",200804,"April","Week 16","Monday","WorkDay",2008,"Trimestre 2",4,14,16,1,"Día Laboral","A","April","Monday","2008-04-13 00:00:00,000","2008-04-20 00:00:00,000","Día Normal"
"2008-04-15 00:00:00,000",2008,"H1","Q2",200804,"April","Week 16","Tuesday","WorkDay",2008,"Trimestre 2",4,15,16,2,"Día Laboral","A","April","Tuesday","2008-04-13 00:00:00,000","2008-04-20 00:00:00,000","Día Normal"
"2008-04-16 00:00:00,000",2008,"H1","Q2",200804,"April","Week 16","Wednesday","WorkDay",2008,"Trimestre 2",4,16,16,3,"Día Laboral","A","April","Wednesday","2008-04-13 00:00:00,000","2008-04-20 00:00:00,000","Día Normal"
"2008-04-17 00:00:00,000",2008,"H1","Q2",200804,"April","Week 16","Thursday","WorkDay",2008,"Trimestre 2",4,17,16,4,"Día Laboral","A","April","Thursday","2008-04-13 00:00:00,000","2008-04-20 00:00:00,000","Día Normal"
"2008-04-18 00:00:00,000",2008,"H1","Q2",200804,"April","Week 16","Friday","WorkDay",2008,"Trimestre 2",4,18,16,5,"Día Laboral","A","April","Friday","2008-04-13 00:00:00,000","2008-04-20 00:00:00,000","Día Normal"
"2008-04-21 00:00:00,000",2008,"H1","Q2",200804,"April","Week 17","Monday","WorkDay",2008,"Trimestre 2",4,21,17,1,"Día Laboral","A","April","Monday","2008-04-20 00:00:00,000","2008-04-27 00:00:00,000","Día Normal"
"2008-04-22 00:00:00,000",2008,"H1","Q2",200804,"April","Week 17","Tuesday","WorkDay",2008,"Trimestre 2",4,22,17,2,"Día Laboral","A","April","Tuesday","2008-04-20 00:00:00,000","2008-04-27 00:00:00,000","Día Normal"
"2008-04-23 00:00:00,000",2008,"H1","Q2",200804,"April","Week 17","Wednesday","WorkDay",2008,"Trimestre 2",4,23,17,3,"Día Laboral","A","April","Wednesday","2008-04-20 00:00:00,000","2008-04-27 00:00:00,000","Día Normal"
"2008-04-24 00:00:00,000",2008,"H1","Q2",200804,"April","Week 17","Thursday","WorkDay",2008,"Trimestre 2",4,24,17,4,"Día Laboral","A","April","Thursday","2008-04-20 00:00:00,000","2008-04-27 00:00:00,000","Día Normal"
"2008-04-25 00:00:00,000",2008,"H1","Q2",200804,"April","Week 17","Friday","WorkDay",2008,"Trimestre 2",4,25,17,5,"Día Laboral","A","April","Friday","2008-04-20 00:00:00,000","2008-04-27 00:00:00,000","Día Normal"
"2008-04-28 00:00:00,000",2008,"H1","Q2",200804,"April","Week 18","Monday","WorkDay",2008,"Trimestre 2",4,28,18,1,"Día Laboral","A","April","Monday","2008-04-27 00:00:00,000","2008-05-04 00:00:00,000","Día Normal"
"2008-04-29 00:00:00,000",2008,"H1","Q2",200804,"April","Week 18","Tuesday","WorkDay",2008,"Trimestre 2",4,29,18,2,"Día Laboral","A","April","Tuesday","2008-04-27 00:00:00,000","2008-05-04 00:00:00,000","Día Normal"
"2008-04-30 00:00:00,000",2008,"H1","Q2",200804,"April","Week 18","Wednesday","WorkDay",2008,"Trimestre 2",4,30,18,3,"Día Laboral","A","April","Wednesday","2008-04-27 00:00:00,000","2008-05-04 00:00:00,000","Día Normal"
"2008-05-01 00:00:00,000",2008,"H1","Q2",200805,"May","Week 18","Thursday","WorkDay",2008,"Trimestre 2",5,1,18,4,"Día Laboral","M","May","Thursday","2008-04-27 00:00:00,000","2008-05-04 00:00:00,000","Día Normal"
"2008-05-02 00:00:00,000",2008,"H1","Q2",200805,"May","Week 18","Friday","WorkDay",2008,"Trimestre 2",5,2,18,5,"Día Laboral","M","May","Friday","2008-04-27 00:00:00,000","2008-05-04 00:00:00,000","Día Normal"
"2008-05-05 00:00:00,000",2008,"H1","Q2",200805,"May","Week 19","Monday","WorkDay",2008,"Trimestre 2",5,5,19,1,"Día Laboral","M","May","Monday","2008-05-04 00:00:00,000","2008-05-11 00:00:00,000","Día Normal"
"2008-05-06 00:00:00,000",2008,"H1","Q2",200805,"May","Week 19","Tuesday","WorkDay",2008,"Trimestre 2",5,6,19,2,"Día Laboral","M","May","Tuesday","2008-05-04 00:00:00,000","2008-05-11 00:00:00,000","Día Normal"
"2008-05-07 00:00:00,000",2008,"H1","Q2",200805,"May","Week 19","Wednesday","WorkDay",2008,"Trimestre 2",5,7,19,3,"Día Laboral","M","May","Wednesday","2008-05-04 00:00:00,000","2008-05-11 00:00:00,000","Día Normal"
"2008-05-08 00:00:00,000",2008,"H1","Q2",200805,"May","Week 19","Thursday","WorkDay",2008,"Trimestre 2",5,8,19,4,"Día Laboral","M","May","Thursday","2008-05-04 00:00:00,000","2008-05-11 00:00:00,000","Día Normal"
"2008-05-09 00:00:00,000",2008,"H1","Q2",200805,"May","Week 19","Friday","WorkDay",2008,"Trimestre 2",5,9,19,5,"Día Laboral","M","May","Friday","2008-05-04 00:00:00,000","2008-05-11 00:00:00,000","Día Normal"
"2008-05-12 00:00:00,000",2008,"H1","Q2",200805,"May","Week 20","Monday","WorkDay",2008,"Trimestre 2",5,12,20,1,"Día Laboral","M","May","Monday","2008-05-11 00:00:00,000","2008-05-18 00:00:00,000","Día Normal"
"2008-05-13 00:00:00,000",2008,"H1","Q2",200805,"May","Week 20","Tuesday","WorkDay",2008,"Trimestre 2",5,13,20,2,"Día Laboral","M","May","Tuesday","2008-05-11 00:00:00,000","2008-05-18 00:00:00,000","Mala Suerte"
"2008-05-14 00:00:00,000",2008,"H1","Q2",200805,"May","Week 20","Wednesday","WorkDay",2008,"Trimestre 2",5,14,20,3,"Día Laboral","M","May","Wednesday","2008-05-11 00:00:00,000","2008-05-18 00:00:00,000","Día Normal"
"2008-05-15 00:00:00,000",2008,"H1","Q2",200805,"May","Week 20","Thursday","WorkDay",2008,"Trimestre 2",5,15,20,4,"Día Laboral","M","May","Thursday","2008-05-11 00:00:00,000","2008-05-18 00:00:00,000","Día Normal"
"2008-05-16 00:00:00,000",2008,"H1","Q2",200805,"May","Week 20","Friday","WorkDay",2008,"Trimestre 2",5,16,20,5,"Día Laboral","M","May","Friday","2008-05-11 00:00:00,000","2008-05-18 00:00:00,000","Día Normal"
"2008-05-19 00:00:00,000",2008,"H1","Q2",200805,"May","Week 21","Monday","WorkDay",2008,"Trimestre 2",5,19,21,1,"Día Laboral","M","May","Monday","2008-05-18 00:00:00,000","2008-05-25 00:00:00,000","Día Normal"
"2008-05-20 00:00:00,000",2008,"H1","Q2",200805,"May","Week 21","Tuesday","WorkDay",2008,"Trimestre 2",5,20,21,2,"Día Laboral","M","May","Tuesday","2008-05-18 00:00:00,000","2008-05-25 00:00:00,000","Día Normal"
"2008-05-21 00:00:00,000",2008,"H1","Q2",200805,"May","Week 21","Wednesday","WorkDay",2008,"Trimestre 2",5,21,21,3,"Día Laboral","M","May","Wednesday","2008-05-18 00:00:00,000","2008-05-25 00:00:00,000","Día Normal"
"2008-05-22 00:00:00,000",2008,"H1","Q2",200805,"May","Week 21","Thursday","WorkDay",2008,"Trimestre 2",5,22,21,4,"Día Laboral","M","May","Thursday","2008-05-18 00:00:00,000","2008-05-25 00:00:00,000","Día Normal"
"2008-05-23 00:00:00,000",2008,"H1","Q2",200805,"May","Week 21","Friday","WorkDay",2008,"Trimestre 2",5,23,21,5,"Día Laboral","M","May","Friday","2008-05-18 00:00:00,000","2008-05-25 00:00:00,000","Día Normal"
"2008-05-26 00:00:00,000",2008,"H1","Q2",200805,"May","Week 22","Monday","WorkDay",2008,"Trimestre 2",5,26,22,1,"Día Laboral","M","May","Monday","2008-05-25 00:00:00,000","2008-06-01 00:00:00,000","Día Normal"
"2008-05-27 00:00:00,000",2008,"H1","Q2",200805,"May","Week 22","Tuesday","WorkDay",2008,"Trimestre 2",5,27,22,2,"Día Laboral","M","May","Tuesday","2008-05-25 00:00:00,000","2008-06-01 00:00:00,000","Día Normal"
"2008-05-28 00:00:00,000",2008,"H1","Q2",200805,"May","Week 22","Wednesday","WorkDay",2008,"Trimestre 2",5,28,22,3,"Día Laboral","M","May","Wednesday","2008-05-25 00:00:00,000","2008-06-01 00:00:00,000","Día Normal"
"2008-05-29 00:00:00,000",2008,"H1","Q2",200805,"May","Week 22","Thursday","WorkDay",2008,"Trimestre 2",5,29,22,4,"Día Laboral","M","May","Thursday","2008-05-25 00:00:00,000","2008-06-01 00:00:00,000","Día Normal"
"2008-05-30 00:00:00,000",2008,"H1","Q2",200805,"May","Week 22","Friday","WorkDay",2008,"Trimestre 2",5,30,22,5,"Día Laboral","M","May","Friday","2008-05-25 00:00:00,000","2008-06-01 00:00:00,000","Día Normal"
"2008-06-02 00:00:00,000",2008,"H1","Q2",200806,"June","Week 23","Monday","WorkDay",2008,"Trimestre 2",6,2,23,1,"Día Laboral","J","June","Monday","2008-06-01 00:00:00,000","2008-06-08 00:00:00,000","Día Normal"
"2008-06-03 00:00:00,000",2008,"H1","Q2",200806,"June","Week 23","Tuesday","WorkDay",2008,"Trimestre 2",6,3,23,2,"Día Laboral","J","June","Tuesday","2008-06-01 00:00:00,000","2008-06-08 00:00:00,000","Día Normal"
